,Unnamed: 0,construct_year,number_of_room,size_metre,Elevator,Parking,Cage,Balcon,main_neighbourhood,price_perMetre_Tooman,floor
28844,28844,1401,2,95,1,1,1,0,شهرآرا,79473000.0,2.0
28845,28845,1396,2,114,1,1,1,0,نیاوران,144736000.0,4.0
28846,28846,1380,4,350,0,1,1,1,دزاشیب,33000000000.0,
28847,28847,1400,1,79,1,1,1,0,مبارک‌آباد بهشتی,24050000.0,2.0
28848,28848,1401,3,177,1,1,1,0,نیاوران,200000000.0,1.0
28849,28849,1399,2,125,1,1,1,0,ولنجک,175000000.0,2.0
28850,28850,1401,3,145,1,1,1,0,شهرک غرب، خیابان مطهری شمالی (خ. عباسی اناری),113793000.0,1.0
28851,28851,1397,1,63,1,1,1,0,کوی مهران,65873000.0,4.0
28852,28852,1399,2,90,1,1,0,0,دولت‌آباد,40000000.0,2.0
28853,28853,1396,2,86,1,1,1,0,مرزداران,90697000.0,5.0
28854,28854,1388,1,63,1,1,1,0,مرزداران,79365000.0,2.0
28855,28855,1401,1,46,1,1,1,0,سلسبیل,52173000.0,3.0
28856,28856,1397,3,167,1,1,1,0,شهرک راه‌آهن,59880000.0,2.0
28857,28857,1401,3,240,1,1,1,0,دروس,162500000.0,4.0
28858,28858,1381,1,40,0,0,1,0,چهارصد دستگاه,35750000.0,1.0
28859,28859,1394,1,46,0,1,1,0,اندیشه (شهر زیبا),18043000.0,3.0
28860,28860,1401,2,86,1,1,1,0,دهکده المپیک,31627000.0,11.0
28861,28861,1381,1,70,0,0,1,0,نارمک جنوبی,35714000.0,3.0
28862,28862,1387,3,113,1,1,1,0,کوی فردوس,72566000.0,2.0
28863,28863,1381,2,119,1,1,1,0,دروس,76470000.0,0.0
28864,28864,1392,2,92,1,1,1,0,آهنگ، خیابان علامه جنوبی (بلوار فرهنگ),61956000.0,5.0
28865,28865,1401,3,160,1,1,1,0,پونک,75000000.0,2.0
28866,28866,1383,3,90,0,1,1,0,المهدی,52000000.0,3.0
28867,28867,1401,3,188,1,1,1,0,تهران‌ویلا,87500000.0,3.0
